"time","temperatures.mean_hotend"
"2020-04-09T18:55:00.000Z","219.87156149999998"
"2020-04-09T18:55:02.500Z","220.19747999999998"
"2020-04-09T18:55:05.000Z","219.73641066666664"
"2020-04-09T18:55:07.500Z","219.95446950000002"
"2020-04-09T18:55:10.000Z","219.36290899999997"
"2020-04-09T18:55:12.500Z","220.0598175"
"2020-04-09T18:55:15.000Z","219.392321"
"2020-04-09T18:55:17.500Z","219.6910685"
"2020-04-09T18:55:20.000Z","220.06034233333332"
"2020-04-09T18:55:22.500Z","220.299948"
"2020-04-09T18:55:25.000Z","219.93128533333334"
"2020-04-09T18:55:27.500Z","219.755386"
"2020-04-09T18:55:30.000Z","220.185234"
"2020-04-09T18:55:32.500Z","219.6604155"
"2020-04-09T18:55:35.000Z","219.829478"
"2020-04-09T18:55:37.500Z","220.3196345"
"2020-04-09T18:55:40.000Z","219.62587899999997"
"2020-04-09T18:55:42.500Z","220.402823"
"2020-04-09T18:55:45.000Z","220.270024"
"2020-04-09T18:55:47.500Z","219.2227"
"2020-04-09T18:55:50.000Z","219.59528566666665"
"2020-04-09T18:55:52.500Z","220.06847349999998"
"2020-04-09T18:55:55.000Z","220.07569366666667"
"2020-04-09T18:55:57.500Z","220.069759"
"2020-04-09T18:56:00.000Z","220.34024333333332"
"2020-04-09T18:56:02.500Z","220.927408"
"2020-04-09T18:56:05.000Z","219.97318933333335"
"2020-04-09T18:56:07.500Z","220.14097650000002"
"2020-04-09T18:56:10.000Z","220.05972366666666"
"2020-04-09T18:56:12.500Z","220.186166"
"2020-04-09T18:56:15.000Z","219.58720366666662"
"2020-04-09T18:56:17.500Z","218.934397"
"2020-04-09T18:56:20.000Z","220.24813600000002"
"2020-04-09T18:56:22.500Z","220.284963"
"2020-04-09T18:56:25.000Z","220.5518046666667"
"2020-04-09T18:56:27.500Z","219.80048"
"2020-04-09T18:56:30.000Z","220.307862"
"2020-04-09T18:56:32.500Z","219.118356"
"2020-04-09T18:56:35.000Z","219.988759"
"2020-04-09T18:56:37.500Z","219.72398199999998"
"2020-04-09T18:56:40.000Z","220.66341766666667"
"2020-04-09T18:56:42.500Z","220.052927"
"2020-04-09T18:56:45.000Z","220.10870033333333"
"2020-04-09T18:56:47.500Z","219.779484"
"2020-04-09T18:56:50.000Z","220.40864699999997"
"2020-04-09T18:56:52.500Z","220.300188"
"2020-04-09T18:56:55.000Z","220.27723033333334"
"2020-04-09T18:56:57.500Z","219.95813049999998"
"2020-04-09T18:57:00.000Z","220.15337633333334"
"2020-04-09T18:57:02.500Z","220.2252715"
"2020-04-09T18:57:05.000Z","219.69311133333335"
"2020-04-09T18:57:07.500Z","219.78294549999998"
"2020-04-09T18:57:10.000Z","219.82696266666665"
"2020-04-09T18:57:12.500Z","220.30186600000002"
"2020-04-09T18:57:15.000Z","220.38863733333335"
"2020-04-09T18:57:17.500Z","219.725284"
"2020-04-09T18:57:20.000Z","220.03767866666666"
"2020-04-09T18:57:22.500Z","219.94889899999998"
"2020-04-09T18:57:25.000Z","219.59913766666668"
"2020-04-09T18:57:27.500Z","219.9038985"
"2020-04-09T18:57:30.000Z","219.81183566666667"
"2020-04-09T18:57:32.500Z","219.947867"
"2020-04-09T18:57:35.000Z","220.14098199999998"
"2020-04-09T18:57:37.500Z","219.850305"
"2020-04-09T18:57:40.000Z","220.03098799999998"
"2020-04-09T18:57:42.500Z","220.14714400000003"
"2020-04-09T18:57:45.000Z","219.99583299999998"
"2020-04-09T18:57:47.500Z","219.876834"
"2020-04-09T18:57:50.000Z","219.93201966666666"
"2020-04-09T18:57:52.500Z","220.1447125"
"2020-04-09T18:57:55.000Z","220.401112"
"2020-04-09T18:57:57.500Z","219.7289045"
"2020-04-09T18:58:00.000Z","220.1148893333333"
"2020-04-09T18:58:02.500Z","220.141475"
"2020-04-09T18:58:05.000Z","220.049031"
"2020-04-09T18:58:07.500Z","219.752368"
"2020-04-09T18:58:10.000Z","220.48401066666668"
"2020-04-09T18:58:12.500Z","219.9806355"
"2020-04-09T18:58:15.000Z","219.69071999999997"
"2020-04-09T18:58:17.500Z","220.0702665"
